groupid,name,estimate0,estimate1,estimate,lower,upper,prob1,prob2
10,nyc,0.44515197412627117,0.44716830307784683,0.0020061597095812345,-0.0013150854407444304,0.00525761499584133,0.131,0.262
10,oklahoma,0.5225956771679205,0.5212965300777215,-0.0014169762923844642,-0.01194177408042312,0.007659846262151589,0.384,0.768
10,philadelphia,0.519207984942047,0.5211050831146805,0.00207044449181204,-0.006302435903027909,0.010266403525868774,0.335,0.67
10,phoenix,0.4904074298756745,0.48938136049510805,-9.533299493908187e-4,-0.008930114659373966,0.0063465406451657215,0.404,0.808
10,portland,0.5086788368827371,0.5076475819248054,-0.0010204691755492101,-0.012871276853006732,0.010362698138452125,0.441,0.882
10,san_antonio,0.4975755466971524,0.4966222847437185,-7.103785175484878e-4,-0.009710515218726217,0.007417753152251036,0.427,0.854
10,san_diego,0.4871886986669145,0.48738467802834884,4.6296975206555624e-5,-0.008716874927282911,0.007871062063536745,0.498,0.996
10,san_francisco,0.42316610792212783,0.42306553206568775,-3.64710966635734e-4,-0.00933956710481164,0.011076130391948595,0.475,0.95
10,san_jose,0.4443558744981533,0.4453337421831101,0.0011490765126050406,-0.008617597311949755,0.011418004926249222,0.422,0.844
10,seattle,0.48730838433347834,0.4848559486855547,-0.002396079010615948,-0.014218612846691151,0.0091670477165627,0.353,0.706
11,austin,0.4762687312889029,0.473392641055017,-0.002696657804648922,-0.013161892861784517,0.006993077430361082,0.275,0.55
11,boston,0.4522759797980102,0.4451732264482947,-0.007143856088379752,-0.01963302478907098,0.0037254620304376174,0.121,0.242
11,charlotte,0.5060357419922177,0.5063953241040546,3.458385195697633e-4,-0.009649565391765742,0.010658689166342456,0.469,0.938
11,chicago,0.5117967628978863,0.529158457196774,0.017389459773299365,0.012123259017237906,0.02254196093175427,0,0
11,columbus,0.5598308495959061,0.5623193193728356,0.0024807517633707588,-0.0066825338754903955,0.011969659761963005,0.309,0.618
11,dallas,0.4683144454006613,0.4628886290700758,-0.0055774913795001435,-0.013825797832930423,0.0023719143941194434,0.069,0.138
