place_id,name,lat,lng,type,term,categories,business_status,user_ratings_total
ChIJJxCBPO1-44kRnsfGveCrjn4,Dell Rock Park,42.2602694,-71.1224139,Park,park,park; point_of_interest; establishment,OPERATIONAL,20
ChIJJxfo-XN644kRtoibuP30B_0,Bay Village Garden,42.3491235,-71.0683248,Park,garden,park; point_of_interest; establishment,OPERATIONAL,6
ChIJJy_IYI1-44kRhAA9OI6t2w4,Bethesda Haitian Baptist Church,42.255259,-71.1209301,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3
ChIJJy_IYI1-44kRToyJgSalG74,Hyde Park Presbyterian Church,42.257867,-71.119505,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,7
ChIJJYco-Sx644kRQeCdVSu82Z4,Friends of the Public Garden,42.3562601,-71.0698231,Park,garden,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,20
ChIJjz8cqeF544kRNW9ISZWDI9A,Baker Library | Bloomberg Center,42.36648890000001,-71.12268060000001,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,15
ChIJjztnLWp644kRXLhMhFl2OYc,Spiritual Assembly Of-Baha'i,42.337439,-71.0684466,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0
ChIJK_o-nLBx44kRftT1QmuwYhg,Bellingham Square,42.395438,-71.033884,Park,square,transit_station; point_of_interest; establishment,OPERATIONAL,1
ChIJk_P1kDp644kRQoArFxXmZ4E,Nubian Square Grille,42.3287662,-71.0833218,Park,square,meal_delivery; meal_takeaway; restaurant; food; point_of_interest; establishment,OPERATIONAL,236
ChIJk-5hBVl344kRDrbVAQo4X-c,Western Avenue Baptist Church,42.364784,-71.112678,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,7
ChIJk-HtXIlw44kREPw2gxfVFt8,Nazzaro Community Center,42.3652584,-71.0543733,Community Space,community center,point_of_interest; establishment,OPERATIONAL,9
ChIJk-O3lkl_44kRmlmjFZSMs4o,J.P. Licks,42.2964203,-71.1568723,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,184
ChIJk0LPwCV644kRSTyszRxK2MY,Roxbury Heritage State Park,42.33042349999999,-71.09046529999999,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,39
ChIJK0pBmS5_44kRROVf2sm8Bzc,Starbucks,42.287273,-71.152664,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,225
ChIJK1yELGZ544kRusAFMW400hQ,Jamaica Plain Community Center,42.3065838,-71.1092285,Community Space,community center,point_of_interest; establishment,OPERATIONAL,2
